FECHA,PRODUCTO,EMPAQUE,CALIBRE,CANTIDAD,PRECIO CFR,TIPO VENTA,PAIS,EMPRESA,SEMANA,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
2021-06-17 00:00:00,CARNE,RETAIL,C300-500,7097.9942522167485,1.710938112808561,Contrato,Francia,Data Mussel,24,6,2021,Europa,Francia,Francia,Francia,CARNE RETAIL,CARNERETAIL,0.0,0.0,1.710938112808561,12144.228890613736,1.710938112808561
2021-06-18 00:00:00,ENTERO,SIN SALSA,C18-27,34019.914520465485,0.9235690005233282,Contrato,Usa,Data Mussel,24,6,2021,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9235690005233282,31419.73845155537,0.9235690005233282
2021-06-22 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.494058633720152,Contrato,Rusia,Data Mussel,25,6,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,67510.7878702628,1.494058633720152
2021-06-22 00:00:00,CARNE,GRANEL,C200-300,41420.65611373169,1.494058633720152,Contrato,Corea,Data Mussel,25,6,2021,Asia,Asia,Asia,Asia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,61884.88888107423,1.494058633720152
2021-06-22 00:00:00,CARNE,GRANEL,C100-200,3765.5141921574264,1.5663517934162883,Contrato,Corea,Data Mussel,25,6,2021,Asia,Asia,Asia,Asia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.5663517934162883,5898.1199080202705,1.5663517934162883
2021-06-22 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.494058633720152,Spot,España,Data Mussel,25,6,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,67510.7878702628,1.494058633720152
2021-06-24 00:00:00,CARNE,GRANEL,C100-200,13179.299672550993,1.3735700342265913,Spot,Uruguay,Data Mussel,25,6,2021,America,America,America,America,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3735700342265913,18102.69110230837,1.3735700342265913
2021-06-25 00:00:00,CARNE,GRANEL,C200-300,45186.170305889114,1.494058633720152,Spot,Rusia,Data Mussel,25,6,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,67510.7878702628,1.494058633720152
2021-06-25 00:00:00,CARNE,GRANEL,C300-500,35094.59227090721,1.3976677541253033,Contrato,Francia,Data Mussel,25,6,2021,Europa,Francia,Francia,Francia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,49050.57996122211,1.3976677541253033
2021-06-25 00:00:00,MEDIA CONCHA,GRANEL,C60-80,8189.993367942402,1.8314267123021217,Contrato,Francia,Data Mussel,25,6,2021,Europa,Francia,Francia,Francia,,MEDIA CONCHAGRANEL,,,,,
2021-06-25 00:00:00,MEDIA CONCHA,GRANEL,C80-100,282.413564411807,1.8314267123021217,Contrato,Francia,Data Mussel,25,6,2021,Europa,Francia,Francia,Francia,,MEDIA CONCHAGRANEL,,,,,
2021-06-25 00:00:00,CARNE,GRANEL,C200-300,45186.170305889114,1.3976677541253033,Spot,Portugal,Data Mussel,25,6,2021,Europa,Otros europa,Otros europa,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,63155.25316895551,1.3976677541253033
2021-06-25 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.494058633720152,Contrato,Rusia,Data Mussel,25,6,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,67510.7878702628,1.494058633720152
2021-06-29 00:00:00,ENTERO,SIN SALSA,C20-40,7521.61459883446,0.9639087959484851,Spot,Brasil,Data Mussel,26,6,2021,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9639087959484851,7250.150471551072,0.9639087959484851
